"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","2","0","update_phone_test.story","0"
"0","","1","","0","0","get_list_phone_test.story","0"
"0","","0","","1","0","add_phone_test.story","0"
"0","","1","","0","0","get_phone_id_test.story","0"
